Number of projects, Number of files
211,1256

PROJECT, CLASS
3taps-Java-Client, GeocoderRequest.java 
3taps-Java-Client, GeocoderResponse.java 
3taps-Java-Client, CreateResponse.java 
3taps-Java-Client, DeleteResponse.java 
3taps-Java-Client, UpdateResponse.java 
3taps-Java-Client, BestMatchResponse.java 
3taps-Java-Client, SearchRequest.java 
3taps-Java-Client, SearchResponse.java 
3taps-Java-Client, SummaryRequest.java 
3taps-Java-Client, SummaryResponse.java 
3taps-Java-Client, Category.java 
3taps-Java-Client, Posting.java 
3taps-Java-Client, PostingHistory.java 
3taps-Java-Client, Source.java 
3taps-Java-Client, Annotation.java 
3taps-Java-Client, AnnotationOption.java 
3taps-Java-Client, Utils.java 
A7B36ASS, AbstractFactory.java 
A7B36ASS, StudentFactory.java 
A7B36ASS, TeacherFactory.java 
abdera, Singleton.java 
accent, ChannelListenerAdapter.java 
accent, ControlledConnectionProxy.java 
activemq, JobSchedulerFacade.java 
activemq, DataManagerFacade.java 
activemq, JournalFacade.java 
activemq, BrokerFacade.java 
activemq, BrokerFacadeSupport.java 
activemq, DestinationFacade.java 
activemq, DurableSubscriberFacade.java 
activemq, JobFacade.java 
activemq, LocalBrokerFacade.java 
activemq, RemoteJMXBrokerFacade.java 
activemq, SingletonBrokerFacade.java 
agetac-ng, AddEntityMemento.java 
Akka-JavaEE6-Integracia, SumSingleton.java 
alfresco, TransactionAwareSingleton.java 
Alice, CallToUserDefinedQuestionPrototype.java 
Alice, CallToUserDefinedResponsePrototype.java 
Alice, ElementPrototype.java 
Alice, QuestionPrototype.java 
Alice, ResponsePrototype.java 
Alitheia-Core, ProxyServlet.java 
AllBinary-Platform, UploadMediaSingleton.java 
AllBinary-Platform, AdminUserEmailEventHandlerSingletons.java 
AllBinary-Platform, StoreAdminUserEmailEventHandlerSingletons.java 
AllBinary-Platform, UserEmailEventHandlerSingletons.java 
AllBinary-Platform, LicenseInterfaceSingleton.java 
AllBinary-Platform, InputAutomationModuleConfigurationsSingletonFactory.java 
AllBinary-Platform, KeySingletonFactory.java 
AllBinary-Platform, ImageComparisonResultCacheSingleton.java 
AllBinary-Platform, AllMotionRectanglesResultsCacheSingleton.java 
AllBinary-Platform, ConsolidatedMotionRectanglesResultsCacheSingleton.java 
AllBinary-Platform, ConstrainedMotionRectanglesResultsCacheSingleton.java 
AllBinary-Platform, BufferedImagePoolSingleton.java 
AllBinary-Platform, DisplayInfoSingleton.java 
AllBinary-Platform, ProcessPaintableSingletonFactory.java 
AllBinary-Platform, NoGameNotificationHudSingleton.java 
AllBinary-Platform, GameConfigurationSingleton.java 
AllBinary-Platform, GameConfigurationPersistanceSingleton.java 
AllBinary-Platform, GamePersistanceSingleton.java 
AllBinary-Platform, TestingInputSingleton.java 
AllBinary-Platform, HighScoreNamePersistanceSingleton.java 
AllBinary-Platform, NullHighScoresSingletonFactory.java 
AllBinary-Platform, RemoteErrorHighScoresSingletonFactory.java 
AllBinary-Platform, MakeCountedPartsSingletonArrayFactory.java 
AllBinary-Platform, CurrentlyPressedTouchButtonSingleton.java 
android-rackspacecloud, ApacheHCHttpCommandExecutorServiceModule.java 
android-rackspacecloud, NioTransformingHttpCommandExecutorServiceModule.java 
android-rackspacecloud, ConnectionPoolCommandExecutorServiceModule.java 
Android-RTMP, FFMPEGPrototype.java 
Android-Simple-Social-Sharing, FacebookEventObserver.java 
Android-Simple-Social-Sharing, TwitterEventObserver.java 
AndroidBillingLibrary, MockBillingObserver.java 
Android_1, IClientSocketFactory.java 
ant, TaskAdapter.java 
ant, TypeAdapter.java 
ant, ExtensionAdapter.java 
ant, JspCompilerAdapter.java 
ant, Native2AsciiAdapter.java 
ant, DefaultRmicAdapter.java 
ant, RmicAdapter.java 
ant, ResourceFactory.java 
ant, ResourceDecorator.java 
ant, TimeoutObserver.java 
api, Singleton.java 
api, SingletonProvider.java 
api, IsolatedStaticSingletonProvider.java 
api, TCCLSingletonProvider.java 
api, MockResourceFactory.java 
api, ResourceReferenceFactory.java 
archaius, ExpandedConfigurationListenerAdapter.java 
arquillian-extension-persistence, EventObserver.java 
arquillian_deprecated, ObserverImpl.java 
ASEME, AIPFactory.java 
ASEME, AIPFactoryImpl.java 
ASEME, IACFactory.java 
ASEME, IACFactoryImpl.java 
ASEME, SRMFactory.java 
ASEME, SRMFactoryImpl.java 
ASEME, StatechartFactory.java 
ASEME, StatechartFactoryImpl.java 
ASEME, SUCFactory.java 
ASEME, SUCFactoryImpl.java 
AxonFramework, SpringPrototypeAggregateFactory.java 
basiclti-portlet, AbstractAdapter.java 
basiclti-portlet, BasicLTIAdapterFactory.java 
basiclti-portlet, ChemvantageAdapter.java 
basiclti-portlet, IBasicLTIAdapter.java 
basiclti-portlet, NoteflightAdapter.java 
basiclti-portlet, PeoplesoftAdapter.java 
basiclti-portlet, SakaiAdapter.java 
basiclti-portlet, StandardAdapter.java 
basiclti-portlet, WikispacesAdapter.java 
basiclti-portlet, WimbaAdapter.java 
BeeQueue, ProxyFactory.java 
betterFORM, FluxFacade.java 
biojava-legacy, SearchBuilder.java 
biojava-legacy, SequenceBuilder.java 
biojava-legacy, SequenceBuilderFactory.java 
biojava-legacy, SimpleAssemblyBuilder.java 
biojava-legacy, ExceptionMemento.java 
biojava-legacy, URLFactory.java 
biojava-legacy, BioSQLRichObjectBuilder.java 
biomixer, Memento.java 
biomixer, ResourceSetFactory.java 
biomixer, DisableIfEmptyResourceSetAvatarFactory.java 
biomixer, FixedLabelResourceSetAvatarFactory.java 
biomixer, HideIfEmptyResourceSetAvatarFactory.java 
biomixer, HighlightingResourceSetAvatarFactory.java 
biomixer, ResourceSetAvatarFactory.java 
biomixer, UpdateResourceSetAvatarLabelFactory.java 
biomixer, ResourceSetAvatarDropCommandFactory.java 
biomixer, ResourceSetPresenterDropCommandFactory.java 
biomixer, NcboJsonpRestUrlBuilderFactory.java 
biomixer, NcboRestUrlBuilderFactory.java 
biomixer, JsDomSvgElementFactory.java 
biomixer, SvgElementFactory.java 
biomixer, TextSvgElementFactory.java 
bio_quiz, AbstractFacade.java 
bio_quiz, PlayerFacade.java 
bio_quiz, QuestionFacade.java 
bio_quiz, QuizFacade.java 
birt, Memento.java 
birt, MementoBuilder.java 
birt, MementoElement.java 
BMach, IObserver.java 
BMach, ISubject.java 
brightroom, AppHistoryObserver.java 
BuildCraft, BuilderProxy.java 
BuildCraft, BuilderProxyClient.java 
BuildCraft, BuildersProxy.java 
BuildCraft, CoreProxy.java 
BuildCraft, CoreProxyClient.java 
BuildCraft, EnergyProxy.java 
BuildCraft, EnergyProxyClient.java 
BuildCraft, FactoryProxy.java 
BuildCraft, FactoryProxyClient.java 
BuildCraft, SiliconProxy.java 
BuildCraft, SiliconProxyClient.java 
BuildCraft, TransportProxy.java 
carrot2, SimpleXmlMemento.java 
