labels,precision,recall,fscore,support
AbstractFactory,0.8547979797979799,0.8411111111111111,0.8437479617046181,9
Adapter,0.7436111111111111,0.4955555555555556,0.5606272090482617,9
Builder,0.7039245395127748,0.7699999999999999,0.7276641097693729,10
Decorator,0.7657034632034632,0.7211111111111111,0.7314950460616095,9
Facade,0.6571428571428571,0.6472727272727272,0.6426975200731426,10
FactoryMethod,0.7639393939393939,0.7288888888888889,0.7424045407636739,9
Memento,0.7520745920745922,0.8266666666666668,0.7749924448803167,9
Observer,0.7879020979020979,0.85,0.8137765031815375,10
Prototype,0.8070734820734821,0.7722222222222223,0.7819581363507195,9
Proxy,0.5974891774891774,0.5599999999999999,0.5660974551764025,9
Singleton,0.5847824397824397,0.6222222222222221,0.5986654266449662,9
Visitor,0.8812665112665113,0.918888888888889,0.8967476662671172,9
